单元	序号	课文	页码
第一单元·阅读
	1	古诗二首	1
		咏柳	1
		村居	2
	2	找春天	4
	3	开满鲜花的小路	6
	4	邓小平爷爷植树	9
	◎	语文园地一	11

第二单元·阅读
	5	雷锋叔叔，你在哪里	15
	6	千人糕	18
	7	我不是最弱小的	21
	◎	语文园地二	24
	◎	快乐读书吧
		读读儿童故事	28

第三单元·识字
	1	神州谣	29
	2	传统节日	31
	3	“贝”的故事	33
	4	中国美食	35
	◎	语文园地三	37

第四单元·阅读
	8	彩色的梦	42
	9	一匹出色的马	45
	10	枫树上的喜鹊	48
	◎	语文园地四	51

第五单元·阅读
	11	寓言二则	55
		亡羊补牢	55
		揠苗助长	56
	12	画杨桃	58
	13	小马过河	61
	◎	语文园地五	65

第六单元·阅读
	14	古诗二首	69
		绝句	69
		晓出净慈寺送林子方	70
	15	雷雨	72
	16	要是你在野外迷了路	74
	17	太空生活趣事多	77
	◎	语文园地六	79

第七单元·阅读
	18	大象的耳朵	84
	19	蜘蛛开店	87
	20	青蛙卖泥塘	90
	21	小毛虫	94
	◎	语文园地七	97

第八单元·阅读
	22	羿射九日	100
	23	黄帝的传说	103
	24	大禹治水	106
	◎	语文园地八	109

附录
	识字表	113
	写字表	117
	词语表	120
