单元	分类	序号	课文	页码
第一单元				1
	阅读
		1	古诗三首	2
			绝句	2
			惠崇春江晚景	2
			三衢道中	3
		2	燕子	4
		3	荷花	6
		4	※ 昆虫备忘录	8
	口语交际		春游去哪里	11
	习作		我的植物朋友	12
		◎	语文园地	13

第二单元			15
	阅读
		5	守株待兔	16
		6	会摇尾巴的狼	18
		7	鹿角和鹿腿	21
		8	※ 池子与河流	23
	口语交际		劝告	27
	习作		看图画，写一写	28
		◎	语文园地	29
		◎	快乐读书吧
			小故事大道理	31

第三单元			33
	阅读
		9	海底世界	34
		10	石蜂	36
		11	※ 小虾	38
	习作		我做了一项小实验	40
		◎	语文园地	41

第四单元				43
	阅读
		12	古诗三首	44
			元日	44
			清明	44
			九月九日忆山东兄弟	45
		13	纸的发明	47
		14	赵州桥	50
		15	※ 一幅名扬中外的画	52
	专题学习活动		中华传统节日	54
		◎	语文园地	55

第五单元				57
	阅读
		16	胡萝卜先生的长胡子	58
		17	我变成了一棵树	61
	习作		奇妙的想象	65
		例文
			一支铅笔的梦想	66
			尾巴它有一只猫	67

第六单元				69
	阅读
		18	童年的水墨画	70
		19	肥皂泡	72
		20	灰雀	75
		21	※ 我不能失信	77
	口语交际		应该怎样安排座位	79
	习作		身边那些有特点的人	80
		◎	语文园地	81

第七单元				83
	阅读
		22	火烧云	84
		23	暴风雨来临之前	87
		24	我们奇妙的世界	89
	习作		国宝大熊猫	92
		◎	语文园地	93

第八单元				95
	阅读
		25	慢性子裁缝和急性子顾客	96
		26	漏	100
		27	※ 枣核	104
	口语交际		趣味故事会	107
	习作		这样想象真有趣	108
		◎	语文园地	109

附录
			识字表	111
			写字表	114
			词语表	116
