单元	分类	序号	课文	页码
第一单元				1
	阅读
		1	观潮	2
		2	繁星	5
		3	※ 现代诗二首	7
			秋晚的江上	7
			花牛歌	8
	口语交际		我们与环境	9
	习作		推荐一个好地方	10
		◎	语文园地	11

第二单元				13
	阅读
		4	一个豆英里的五粒豆	14
		5	夜间飞行的秘密	19
		6	方帽子店	23
		7	※ 田忌赛马	28
	习作		我的家人 30
	◎	语文园地	31

第三单元				33
	阅读
		8	古诗三首	34
			暮江吟	34
			题西林壁	34
			雪梅	35
		9	爬山虎的脚	36
		10	蟋蟀的住宅	39
	口语交际		爱护眼睛，保护视力	43
	习作		写观察日记	44
		◎	语文园地	45

第四单元				47
	阅读
		11	盘古开天地	48
		12	精卫填海	50
		13	普罗米修斯	51
		14	※ 女娲补天	54
	习作		我和____过一天	56
		◎	语文园地	57
		◎	快乐读书吧
			很久很久以前	59

第五单元				61
	阅读
		15	麻雀	62
		16	爬天都峰	65
	习作		生活万花筒	68
		例文
			我家的杏熟了	69
			小木船	71

第六单元				73
	阅读
		17	长城	74
		18	颐和园	77
		19	※ 秦兵马俑	80
	口语交际		我是小小讲解员	82
	习作		中国的世界文化遗产	83
		◎	语文园地	84

第七单元				87
	阅读
		20	牛和鹅	88
		21	一只窝囊的大老虎	93
		22	※ 陀螺	98
		23	王戎不取道旁李	102
	口语交际		安慰	103
	习作		我的心儿怦怦跳	104
		◎	语文园地	105

第八单元			107
	阅读
		24	我将无我，不负人民	108
		25	为中华之崛起而读书	110
		26	※ 延安，我把你追寻	115
		27	古诗三首	117
			凉州词	117
			出塞	117
			夏日绝句	118
	习作		写信	119
		◎	语文园地	120

附录
			识字表	122
			写字表	125
			词语表	127
