单元	分类	序号	课文	页码
第一单元				1
	阅读
		1	桂花雨	2
		2	落花生	5
		3	※ 珍珠鸟	7
	口语交际		制定班级公约	9
	习作		我的心爱之物	10
		◎	语文园地	11

第二单元				13
	阅读
		4	冀中的地道战	14
		5	将相和	17
		6	什么比猎豹的速度更快	22
		7	“诺曼底号”遇难记	25
	习作		“漫画”老师	30
		◎	语文园地	31

第三单元				33
	阅读
		8	猎人海力布	34
		9	牛郎织女（一）	37
		10	※ 牛郎织女（二）	42
	口语交际		讲民间故事	45
	习作		故事新编	46
		◎	语文园地	47
		◎	快乐读书吧
			从前有座山	49

第四单元				51
	阅读
		11	古诗三首	52
			示儿	52
			题临安邸	52
			己亥杂诗	53
		12	少年中国说（节选）	54
		13	圆明园的毁灭	56
		14	※ 梅兰芳蓄须明志	59
	习作		二十年后的家乡	62
		◎	语文园地	63

第五单元				65
	阅读
		15	太阳	66
		16	金字塔	68
	习作		介绍一种事物	71
	例文
			鲸	72
			风向袋的制作	74

第六单元
	阅读
		17	慈母情深	76
		18	父爱之舟	80
		19	※ 航天员写给孩子的信	84
	口语交际		父母之爱	87
	习作		我想对您说	88
		◎	语文园地	89

第七单元			91
	阅读
		20	古诗三首	92
			山居秋暝	92
			枫桥夜泊	92
			早春呈水部张十八员外	93
		21	第一场雪	94
		22	白鹭	96
	习作		我最喜爱的季节	98
		◎	语文园地	99

第八单元				101
	阅读
		23	古人谈读书	102
		24	忆读书	104
		25	※ 走遍天下书为侣	109
	习作		推荐一本书	111
		◎	语文园地	112

附录
			识字表	115
			写字表	118
			词语表	120
