单元	分类	序号	课文	页码
第一单元				1
	阅读
		1	草原	2
		2	丁香结	5
		3	古诗词三首	8
			宿建德江	8
			六月二十七日望湖楼醉书	8
			西江月·夜行黄沙道中	9
	习作		变形记	10
		◎	语文园地	11

第二单元				13
	阅读
		4	七律·长征	14
		5	狼牙山五壮士	16
		6	开国大典	19
		7	我的战友邱少云	24
	口语交际		演讲	27
	习作		多彩的活动	28
		◎	语文园地	29

第三单元				31
	阅读
		8	竹节人	32
		9	宇宙生命之谜	36
		10	※ 故宫博物院	40
	习作		____让生活更美好	46
		◎	语文园地	47

第四单元				49
	阅读
		11	桥	50
		12	穷人	53
		13	※ 金色的鱼钩	58
	口语交际		请你支持我	63
	习作		笔尖流出的故事	64
		◎	语文园地	65
		◎	快乐读书吧
			笑与泪，经历与成长	67

第五单元				69
	阅读
		14	灯光	70
		15	盼	73
	习作		围绕中心意思写	77
		例文
			爸爸的计划	78
			小站	79

第六单元				81
	阅读
		16	只有一个地球	82
		17	※ 青山不老	84
		18	※ 三黑和土地	86
		19	古诗三首	91
			浪淘沙（其一）	91
			江南春	91
			书湖阴先生壁	92
	口语交际		意见不同怎么办	93
	习作		学写倡议书	94
		◎	语文园地	95

第七单元				97
	阅读
		20	文言文二则	98
			两小儿辩日	98
			曹冲称象	99
		21	表里的生物	100
		22	※ 他们那时候多有趣啊	103
	习作		插上科学的翅膀飞	106
		◎	语文园地	107

第八单元				109
	阅读
		23	少年闰土	110
		24	好的故事	114
		25	※ 我的伯父鲁迅先生	117
		26	※ 有的人—纪念鲁迅有感	121
	习作		传承好家风	123
		◎	语文园地	124

附录
			写字表	126
			词语表	128
