单元	分类	序号	课文	文章	作者	页码
第一单元						1
	阅读	1	社戏		鲁迅	2
		2	回延安		贺敬之	10
		3	※ 安塞腰鼓		刘成章	17
		4	※ 灯笼		吴伯箫	21
			阅读综合实践		25
	写作		考虑目的和对象	26

第二单元					29
	阅读	5	大自然的语言		竺可桢 宛敏渭	30
		6	阿西莫夫短文两篇			34
				恐龙无处不有
				被压扁的沙子
		7	※ 月亮是从哪里来的		卞毓麟	40
		8	※ 时间的脚印		陶世龙	45
			阅读综合实践			50
	写作		说明的顺序			52
	专题学习活动
			绿水青山，低碳生活			55

第三单元						61
	阅读	9	桃花源记		陶渊明	62
		10	小石潭记		柳宗元	66
		11	※ 核舟记		魏学洢	68
		12	《诗经》二首			71
				关雎
				蒹葭
			阅读综合实践			74
	写作		学写读后感			75

	整本书阅读
			《经典常谈》怎样读知识性作品			77
	课外古诗词诵读					81
			式微		《诗经·邶风》
			子衿		《诗经·郑风》
			送杜少府之任蜀州		王勃
			望洞庭湖上张丞相		孟浩然

第四单元	活动·探究					83
	任务一	学习演讲词				84
		13	最后一次讲演		闻一多	85
		14	敬业与乐业		梁启超	89
		15	应有格物致知精神		丁𦘦中	95
		16	我一生中的重要抉择		王选	99
	任务二	撰写演讲稿				104
	任务三	举办演讲比赛				106

第五单元						109
	阅读	17	壶口瀑布		梁衡	110
		18	在长江源头各拉丹冬		马丽华	114
		19	※ 登勃朗峰		马克·吐温	119
		20	※ 一滴水经过丽江		阿来	123
			阅读综合实践			127
	写作		学写游记			129
	整本书阅读
			《昆虫记》			132

第六单元						133
	阅读	21	《庄子》二则			134
				北冥有鱼
				庄子与惠子游于濠梁之上
		22	《礼记》二则			137
				虽有嘉肴
				大道之行也
		23	※ 马说		韩愈	140
		24	唐诗三首			142
				石壕吏	杜甫
				茅屋力秋风所破歌	杜甫
				卖炭翁	白居易
				阅读综合实践		146
	写作			负责任地表达		148
	专题学习活动
				以和贵		151
	课外古诗词诵读					156
				题破山寺后禅院	常建
				送友人	李白
				卜算子·黄州定慧院寓居作	苏轼
				卜算子·咏梅	陆游
