单元	分类	序号	课文	文章	作者	页码
第一单元	活动·探究					1
	任务一	学习鉴赏				2
		1	沁园春·雪		毛泽东	3
		2	周总理，你在哪里		柯岩	5
		3	我爱这土地		艾青	8
		4	乡愁		余光中	9
		5	你是人间的四月天——一句爱的赞颂		林徽因	10
		6	我看		穆旦	12
	任务二		诗歌朗诵			14
	任务三		尝试创作			18

第二单元					21
	阅读	7	培养德智体美劳全面发展的社会主义建设者和接班人		习近平	22
		8	中国人失掉自信力了吗		鲁迅	30
		g	※ 谈骨气		吴晗	33
		10	※ 创造宣言		陶行知	36
			阅读综合实践			41
	写作		观点要明确			43
	专题学习活动
			君子自强不息			46

第三单元						49
	阅读	11	岳阳楼记		范仲淹	50
		12	醉翁亭记		欧阳修	53
		13	※ 湖心亭看雪		张岱	56
		14	诗词三首			58
				行路难（其一）	李白
				酬乐天扬州初逢席上见赠	刘禹锡
				水调歌头（明月几时有）	苏轼
			阅读综合实践			61
	写作		议论要言之有据			62
	课外古诗词诵读					65
			月夜忆舍弟		杜甫
			长沙过贾谊宅		刘长卿
			左迁至蓝关示侄孙湘		韩愈
			商山早行		温庭筠

第四单元						67
	阅读	15	故乡		鲁迅	68
		16	我的叔叔于勒		莫泊桑	78
		17	※ 孤独之旅		曹文轩	85
		18	※ 蒲柳人家（节选）		刘绍棠	93
			阅读综合实践			103
	写作		学写小小说			105
	整本书阅读
			《简·爱》怎样读外国小说			108

第五单元						111
	阅读	19	想和做		胡绳	112
		20	怀疑与学问		顾颉刚	115
		21	※ 就英法联军远征中国致巴特勒上尉的信		雨果	118
		22	※ 精神的三间小屋		毕淑敏	122
			阅读综合实践			126
	写作		论证要合理			127
	专题学习活动
			我们的数字时代			130

第六单元						135
	阅读	23	曹刿论战		《左传》	136
		24	※ 邹忌讽齐王纳谏		《战国策》	139
		25	※ 陈涉世家		司马迁	142
		26	出师表		诸葛亮	146
		27	诗词曲五首			150
				十五从军征白雪歌送武判官归京	岑参
				南乡子·登京口北固亭有怀	辛弃疾
				过零丁洋	文天祥
				山坡羊·潼关怀古	张养浩
			阅读综合实践
	写作		学会深入思考
	整本书阅读
			《唐诗三百首》			158
	课外古诗词诵读					159
			咸阳城东楼		许浑
			无题		李商隐
			浣溪沙（漠漠轻寒上小楼）		秦观
			丑奴儿·书博山道中壁		辛弃疾
